Hierarchical Name,Hierarchical Name,Coded Text
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\Auditory perception,Auditory perception
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\Journal,A comparison of visual and auditory representational momentum in spatial tasks
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks","Nodes\\Journal\Attention, Perception, & Psychophysics",A comparison of visual and auditory representational momentum in spatial tasks
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\Localization,Localization
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\Motion,Motion perception
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\Motion\Motion perception,Motion perception
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\Number of Citations,A comparison of visual and auditory representational momentum in spatial tasks
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\Number of Citations\1-10,A comparison of visual and auditory representational momentum in spatial tasks
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\representations,Representational momentum
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\representations\representational momentum,Representational momentum
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\visual perception,Visual perception
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\Year,A comparison of visual and auditory representational momentum in spatial tasks
"Internals\\Schmiedchen, K., Freigang, C., Rübsamen, R., & Richter, N. (2013). A comparison of visual and auditory representational momentum in spatial tasks",Nodes\\Year\2013,A comparison of visual and auditory representational momentum in spatial tasks
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\associative learning,Associative recognition
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\associative learning\Associative recognition,Associative recognition
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\cognitive systems,Cognitive modeling
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\cognitive systems\Cognitive Modeling,Cognitive modeling
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Journal,Modeling fan effects on the time course of associative recognition
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Journal\Cognitive Psychology,Modeling fan effects on the time course of associative recognition
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Memory,Memory retrieval
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Memory\Memory retrieval,Memory retrieval
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Number of Citations,Modeling fan effects on the time course of associative recognition
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Number of Citations\31-40,Modeling fan effects on the time course of associative recognition
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Response-time models,Response signal procedure
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Response-time models\Response signal procedure,Response signal procedure
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Year,Modeling fan effects on the time course of associative recognition
"Internals\\Schneider, D. W., & Anderson, J. R. (2012). Modeling fan effects on the time course of associative recognition. Cognitive Psychology",Nodes\\Year\2012,Modeling fan effects on the time course of associative recognition
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\collaboration,Collaborative Learning
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\collaboration\Collaborative Learning,Collaborative Learning
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Journal,Regulation During Cooperative and Collaborative Learning: A Theory-Based Review of Terms and Concepts
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Journal\Educational Psychologist,Regulation During Cooperative and Collaborative Learning: A Theory-Based Review of Terms and Concepts
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Number of Citations,Regulation During Cooperative and Collaborative Learning: A Theory-Based Review of Terms and Concepts
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Number of Citations\21-30,Regulation During Cooperative and Collaborative Learning: A Theory-Based Review of Terms and Concepts
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Regularization\Regulatory focus,regulatory feedback loop model
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Regularization\Regulatory focus\regulatory feedback loop model,regulatory feedback loop model
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Self-related\self-regulation,self-regulation
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Social Psychology,social regulation
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Social Psychology\social regulation,social regulation
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Year,Regulation During Cooperative and Collaborative Learning: A Theory-Based Review of Terms and Concepts
"Internals\\Schoor, C., Narciss, S., & Körndle, H. (2015). Regulation during cooperative and collaborative learning A theory-based review of terms and concepts. Educational Psychologist",Nodes\\Year\2015,Regulation During Cooperative and Collaborative Learning: A Theory-Based Review of Terms and Concepts
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\Eye-movements,Eye movements
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\Eye-movements\Eye movements,Eye movements
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\Journal,Parafoveal processing in reading
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading","Nodes\\Journal\Attention, Perception, & Psychophysics",Parafoveal processing in reading
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\Number of Citations,Parafoveal processing in reading
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\Number of Citations\251-260,Parafoveal processing in reading
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\Reading,Reading
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\visual working memory,Visual word recognition
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\visual working memory\Visual word recognition,Visual word recognition
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\Year,Parafoveal processing in reading
"Internals\\Schotter, E. R., Angele, B., & Rayner, K. (2012). Parafoveal processing in reading",Nodes\\Year\2012,Parafoveal processing in reading
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Classroom Assessment,classroom context
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Classroom Assessment\classroom context,classroom context
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Emotions,Emotion
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Emotions\emotion,Emotion
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Journal,Inquiry on Teachers’ Emotion
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Journal\Educational Psychologist,Inquiry on Teachers’ Emotion
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Number of Citations,Inquiry on Teachers’ Emotion
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Number of Citations\41-50,Inquiry on Teachers’ Emotion
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Teaching Psychology,Teaching
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Teaching Psychology\teaching,Teaching
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Year,Inquiry on Teachers’ Emotion
"Internals\\Schutz, P. A. (2014). Inquiry on teachers’ emotion. Educational Psychologist",Nodes\\Year\2014,Inquiry on Teachers’ Emotion
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\Journal,Does Working Memory Training Transfer? A Meta-Analysis Including Training Conditions as Moderators
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\Journal\Educational Psychologist,Does Working Memory Training Transfer? A Meta-Analysis Including Training Conditions as Moderators
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\meta-analysis,Meta-Analysis
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\Number of Citations,Does Working Memory Training Transfer? A Meta-Analysis Including Training Conditions as Moderators
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\Number of Citations\81-90,Does Working Memory Training Transfer? A Meta-Analysis Including Training Conditions as Moderators
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\transfer of learning,transfer effects
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\transfer of learning\transfer effects,transfer effects
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\working memory,Working Memory
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\working memory,working-memory training
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\working memory\working-memory training,working-memory training
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\Year,Does Working Memory Training Transfer? A Meta-Analysis Including Training Conditions as Moderators
"Internals\\Schwaighofer, M., Fischer, F., & Bühner, M. (2015). Does working memory training transfer A meta-analysis including training conditions as moderators. Educational Psychologist",Nodes\\Year\2015,Does Working Memory Training Transfer? A Meta-Analysis Including Training Conditions as Moderators
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\Beliefs,beliefs
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\engagement,Engagement
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\interest research,interest
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\interest research\interest,interest
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\Journal,"Understanding and Engagement in Places of Science Experience: Science Museums, Science Centers, Zoos, and Aquariums"
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\Journal\Educational Psychologist,"Understanding and Engagement in Places of Science Experience: Science Museums, Science Centers, Zoos, and Aquariums"
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\knowledge application,knowledge acquisition
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\knowledge application\knowledge acquisition,knowledge acquisition
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\Number of Citations,"Understanding and Engagement in Places of Science Experience: Science Museums, Science Centers, Zoos, and Aquariums"
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\Number of Citations\51-60,"Understanding and Engagement in Places of Science Experience: Science Museums, Science Centers, Zoos, and Aquariums"
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\Science education,Science Experience
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\Science education\Science Experience,Science Experience
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\Year,"Understanding and Engagement in Places of Science Experience: Science Museums, Science Centers, Zoos, and Aquariums"
"Internals\\Schwan, S., Grajal, A., & Lewalter, D. (2014). Understanding and engagement in places of science experience Science museums, science centers, zoos, and aquariums. Educational Psychologist",Nodes\\Year\2014,"Understanding and Engagement in Places of Science Experience: Science Museums, Science Centers, Zoos, and Aquariums"
"Internals\\Schweickert, R., Han, H. J., Yamaguchi, M., & Fortin, C. (2014). Estimating averages from distributions of tone durations",Nodes\\Journal,Estimating averages from distributions of tone durations
"Internals\\Schweickert, R., Han, H. J., Yamaguchi, M., & Fortin, C. (2014). Estimating averages from distributions of tone durations","Nodes\\Journal\Attention, Perception, & Psychophysics",Estimating averages from distributions of tone durations
"Internals\\Schweickert, R., Han, H. J., Yamaguchi, M., & Fortin, C. (2014). Estimating averages from distributions of tone durations",Nodes\\Mathematical modeling,Math modeling
"Internals\\Schweickert, R., Han, H. J., Yamaguchi, M., & Fortin, C. (2014). Estimating averages from distributions of tone durations",Nodes\\Mathematical modeling\Math modeling,Math modeling
"Internals\\Schweickert, R., Han, H. J., Yamaguchi, M., & Fortin, C. (2014). Estimating averages from distributions of tone durations",Nodes\\Number of Citations,Estimating averages from distributions of tone durations
"Internals\\Schweickert, R., Han, H. J., Yamaguchi, M., & Fortin, C. (2014). Estimating averages from distributions of tone durations",Nodes\\Number of Citations\1-10,Estimating averages from distributions of tone durations
"Internals\\Schweickert, R., Han, H. J., Yamaguchi, M., & Fortin, C. (2014). Estimating averages from distributions of tone durations",Nodes\\temporal processing,Temporal processing
"Internals\\Schweickert, R., Han, H. J., Yamaguchi, M., & Fortin, C. (2014). Estimating averages from distributions of tone durations",Nodes\\Year,Estimating averages from distributions of tone durations
"Internals\\Schweickert, R., Han, H. J., Yamaguchi, M., & Fortin, C. (2014). Estimating averages from distributions of tone durations",Nodes\\Year\2014,Estimating averages from distributions of tone durations
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\False belief,False belief
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\infant research,Infant cognition
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\infant research\Infant cognition,Infant cognition
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\Journal,Attributing false beliefs about non-obvious properties at 18 months
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\Journal\Cognitive Psychology,Attributing false beliefs about non-obvious properties at 18 months
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\Number of Citations,Attributing false beliefs about non-obvious properties at 18 months
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\Number of Citations\101-110,Attributing false beliefs about non-obvious properties at 18 months
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\Psychological theory,Psychological reasoning
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\Psychological theory\Psychological reasoning,Psychological reasoning
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\Violation-of-expectation,Violation-of-expectation
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\Year,Attributing false beliefs about non-obvious properties at 18 months
"Internals\\Scott, R. M., Baillargeon, R., Song, H. J., & Leslie, A. M. (2010). Attributing false beliefs about non-obvious properties at 18 months. Cognitive psychology",Nodes\\Year\2010,Attributing false beliefs about non-obvious properties at 18 months
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\deception,Deception
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Development,Cognitive development
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Development\Cognitive development,Cognitive development
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\False belief\False-belief,False-belief understanding
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\False belief\False-belief\False-belief understanding,False-belief understanding
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\identity,identity
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\infant research,Infant development
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\infant research\Infant development,Infant development
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Journal,Infants understand deceptive intentions to implant false beliefs about identity: New evidence for early mentalistic reasoning
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Journal\Cognitive Psychology,Infants understand deceptive intentions to implant false beliefs about identity: New evidence for early mentalistic reasoning
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Number of Citations,Infants understand deceptive intentions to implant false beliefs about identity: New evidence for early mentalistic reasoning
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Number of Citations\21-30,Infants understand deceptive intentions to implant false beliefs about identity: New evidence for early mentalistic reasoning
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Psychological theory,Psychological reasoning
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Psychological theory\Psychological reasoning,Psychological reasoning
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\social cognition,Social cognition
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Year,Infants understand deceptive intentions to implant false beliefs about identity: New evidence for early mentalistic reasoning
"Internals\\Scott, R. M., Richman, J. C., & Baillargeon, R. (2015). Infants understand deceptive intentions to implant false beliefs about identity New evidence for early mentalistic reasoning. Cognitive psychology",Nodes\\Year\2015,Infants understand deceptive intentions to implant false beliefs about identity: New evidence for early mentalistic reasoning
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\cognitive systems,Cognitive control
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\cognitive systems\cognitive control,Cognitive control
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\context dependence\contextual variability,contextual variability
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Dynamic infrastructure of mind,Dynamic Multiprocess Framework
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Dynamic infrastructure of mind\Dynamic Multiprocess Framework,Dynamic Multiprocess Framework
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Intention,Intentions
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Journal,The Dynamic Multiprocess Framework: Evidence from prospective memory with contextual variability
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Journal\Cognitive Psychology,The Dynamic Multiprocess Framework: Evidence from prospective memory with contextual variability
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Memory,Prospective memory
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Memory\Prospective memory,Prospective memory
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Number of Citations,The Dynamic Multiprocess Framework: Evidence from prospective memory with contextual variability
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Number of Citations\71-80,The Dynamic Multiprocess Framework: Evidence from prospective memory with contextual variability
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Year,The Dynamic Multiprocess Framework: Evidence from prospective memory with contextual variability
"Internals\\Scullin, M. K., McDaniel, M. A., & Shelton, J. T. (2013). The Dynamic Multiprocess Framework Evidence from prospective memory with contextual variability. Cognitive psychology",Nodes\\Year\2013,The Dynamic Multiprocess Framework: Evidence from prospective memory with contextual variability
"Internals\\Seidler, R. D., Bernard, J. A., Lipps, D. B. (2010). Motor control and aging links to age-related brain structural, functional, and biochemical effects",Nodes\\age,Aging
